Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-04-17 23:36:38;2019-04-18 06:27:05;79%;96%;;0;5446;Normal;101.8;;60.0;24626.9;20768.7;2462.7;2019-04-18 06:00:00;2019-04-18 06:30:00;true;0.0;32.0;No weather;
2019-04-23 00:10:16;2019-04-23 06:03:21;61%;0%;;0;1420;Normal;101.2;;101.9;21184.6;15959.0;2683.4;2019-04-23 06:00:00;2019-04-23 06:30:00;true;0.0;32.0;No weather;
2019-04-28 23:42:16;2019-04-29 06:12:46;72%;0%;;0;874;Normal;100.5;;76.9;23430.0;20930.8;468.6;2019-04-29 06:00:00;2019-04-29 06:30:00;true;0.0;32.0;No weather;
2019-04-29 23:22:49;2019-04-30 06:15:18;69%;97%;;0;5384;Normal;101.0;;114.9;24748.8;19799.1;4949.8;2019-04-30 06:00:00;2019-04-30 06:30:00;true;0.0;32.0;No weather;
2019-04-30 23:36:50;2019-05-01 06:18:45;74%;97%;;0;2566;Normal;101.2;;78.7;24115.0;19372.4;482.3;2019-05-01 06:00:00;2019-05-01 06:30:00;true;0.0;32.0;No weather;
2019-05-02 00:15:30;2019-05-02 06:12:07;59%;96%;;0;5314;Normal;101.3;;117.7;21397.1;19186.0;427.9;2019-05-02 06:00:00;2019-05-02 06:30:00;true;429.0;32.0;No weather;
2019-05-05 23:35:13;2019-05-06 06:14:04;77%;0%;;0;3232;Normal;100.8;;62.6;23931.0;16193.3;6541.1;2019-05-06 06:00:00;2019-05-06 06:30:00;true;65.0;32.0;No weather;
2019-05-06 23:45:09;2019-05-07 06:20:00;71%;98%;;0;5092;Normal;101.2;;86.5;23691.2;20848.3;473.8;2019-05-07 06:00:00;2019-05-07 06:30:00;true;0.0;32.0;No weather;
2019-05-07 23:01:28;2019-05-08 06:25:29;78%;95%;;0;2921;Normal;101.2;;94.6;26641.2;23266.6;532.8;2019-05-08 06:00:00;2019-05-08 06:30:00;true;0.0;32.0;No weather;
2019-05-08 23:39:58;2019-05-09 06:21:11;72%;95%;;0;6238;Normal;100.8;;89.5;24073.4;23110.4;160.5;2019-05-09 06:00:00;2019-05-09 06:30:00;true;0.0;32.0;No weather;
2019-05-13 00:06:03;2019-05-13 06:20:40;66%;0%;;0;1063;Normal;101.1;;91.7;22476.4;20453.5;149.8;2019-05-13 06:00:00;2019-05-13 06:30:00;true;76.0;32.0;No weather;
2019-05-13 23:17:17;2019-05-14 06:25:12;76%;93%;;0;4213;Normal;101.2;;89.6;25674.9;22166.0;171.2;2019-05-14 06:00:00;2019-05-14 06:30:00;true;0.0;32.0;No weather;
2019-05-14 23:50:46;2019-05-15 06:28:20;56%;94%;;0;2169;Normal;101.0;;163.8;23854.2;21945.9;159.0;2019-05-15 06:00:00;2019-05-15 06:30:00;true;0.0;32.0;No weather;
2019-05-16 00:00:14;2019-05-16 06:27:32;64%;95%;;0;5727;Normal;100.8;;114.5;23237.6;20836.4;154.9;2019-05-16 06:00:00;2019-05-16 06:30:00;true;0.0;32.0;No weather;
2019-05-16 23:39:21;2019-05-17 06:29:42;76%;97%;;0;4288;Normal;101.3;;74.7;24620.8;22979.4;164.1;2019-05-17 06:00:00;2019-05-17 06:30:00;true;0.0;32.0;No weather;
2019-05-22 00:06:22;2019-05-22 06:27:18;73%;0%;;0;3045;Normal;100.7;;64.2;22855.8;19046.5;152.4;2019-05-22 06:00:00;2019-05-22 06:30:00;true;0.0;32.0;No weather;
2019-05-24 00:25:00;2019-05-24 06:05:29;66%;94%;;0;2379;Normal;101.5;;58.4;20429.1;19135.3;136.2;2019-05-24 06:00:00;2019-05-24 06:30:00;true;0.0;32.0;No weather;
